Datetime;Family solar opt. (economic) [W];Family solar opt. (intensive) [W];3 daily peaks (economic) [W];Mainly evening (economic) [W];Standard load profile residential (S21) [-]
01/01/2022 00:00;73.5;74.9;240;400;0.0726
01/01/2022 00:15;22.9;166.8;40;280;0.0716
01/01/2022 00:30;19.3;73.7;40;200;0.0707
01/01/2022 00:45;35.9;96.1;200;280;0.0719
01/01/2022 01:00;51.4;162.6;240;360;0.0691
01/01/2022 01:15;20;70.5;200;200;0.0681
01/01/2022 01:30;18.6;94.2;120;240;0.067
01/01/2022 01:45;42.7;137.3;80;360;0.0657
01/01/2022 02:00;67.8;68.7;80;240;0.0645
01/01/2022 02:15;19.1;130.9;0;200;0.0622
01/01/2022 02:30;19.6;89.9;160;320;0.0595
01/01/2022 02:45;20.4;95.6;280;320;0.0585
01/01/2022 03:00;75;123.8;240;40;0.0605
01/01/2022 03:15;19.2;67.4;40;80;0.0615
01/01/2022 03:30;19.7;159.4;40;240;0.0626
01/01/2022 03:45;20.8;102.8;200;80;0.0619
01/01/2022 04:00;74.5;90.4;240;40;0.0614
01/01/2022 04:15;75;150.2;200;200;0.0602
01/01/2022 04:30;92.1;69.4;80;320;0.0624
01/01/2022 04:45;94.7;238.2;120;200;0.063
01/01/2022 05:00;340.2;322.2;280;160;0.0701
01/01/2022 05:15;388.4;274.5;240;240;0.0736
01/01/2022 05:30;76.3;421.9;160;200;0.0776
01/01/2022 05:45;76.1;769.7;120;120;0.0821
01/01/2022 06:00;75.7;767.2;120;40;0.0843
01/01/2022 06:15;222.3;815.3;160;160;0.0918
01/01/2022 06:30;193.3;716.8;120;200;0.1025
01/01/2022 06:45;218.4;827.5;160;80;0.1096
01/01/2022 07:00;217.1;756.9;240;40;0.1245
01/01/2022 07:15;264.6;768.1;120;200;0.1338
01/01/2022 07:30;220.7;844.5;40;160;0.1416
01/01/2022 07:45;220;744.7;160;40;0.1437
01/01/2022 08:00;217.4;671.5;200;120;0.1506
01/01/2022 08:15;155.1;463.8;240;240;0.1545
01/01/2022 08:30;46.9;510.3;80;40;0.1544
01/01/2022 08:45;1 093.30;608.6;0;40;0.1539
01/01/2022 09:00;1 549.20;3 257.00;200;280;0.1566
01/01/2022 09:15;1 356.00;525.5;360;240;0.1582
01/01/2022 09:30;243.8;1 415.70;360;120;0.1596
01/01/2022 09:45;253.7;210;560;280;0.1578
01/01/2022 10:00;290.7;529.3;160;1 440.00;0.1624
01/01/2022 10:15;270.2;477.9;320;1 080.00;0.169
01/01/2022 10:30;140.5;535.1;280;320;0.1728
01/01/2022 10:45;201.4;1 910.20;200;1 160.00;0.1735
01/01/2022 11:00;828.5;2 679.00;80;1 600.00;0.1705
01/01/2022 11:15;1 878.90;3 034.00;160;960;0.1664
01/01/2022 11:30;3 387.70;3 344.60;280;840;0.1629
01/01/2022 11:45;3 883.80;1 464.10;240;1 840.00;0.1604
01/01/2022 12:00;1 185.50;280.7;160;480;0.1546
01/01/2022 12:15;371.3;150.9;160;1 760.00;0.1516
01/01/2022 12:30;131.4;594.8;160;1 520.00;0.1498
01/01/2022 12:45;42;512.9;160;160;0.1495
01/01/2022 13:00;42.6;1 124.10;240;200;0.1478
01/01/2022 13:15;96.7;1 544.90;200;320;0.1451
01/01/2022 13:30;1 649.60;1 489.10;160;240;0.1459
01/01/2022 13:45;1 529.70;1 573.90;160;160;0.152
01/01/2022 14:00;1 453.90;1 133.50;120;280;0.1541
01/01/2022 14:15;1 482.70;1 017.90;240;280;0.1525
01/01/2022 14:30;1 950.70;1 147.90;240;120;0.1518
01/01/2022 14:45;1 590.50;1 386.00;280;240;0.1541
01/01/2022 15:00;1 603.90;1 538.50;360;320;0.1569
01/01/2022 15:15;1 323.30;1 344.80;240;160;0.1566
01/01/2022 15:30;248.1;749.3;240;160;0.1655
01/01/2022 15:45;280.3;588.2;200;320;0.1782
01/01/2022 16:00;380;1 051.30;160;240;0.1884
01/01/2022 16:15;456.2;1 039.00;280;200;0.1968
01/01/2022 16:30;399.5;1 067.70;240;280;0.2011
01/01/2022 16:45;369.2;1 226.00;80;360;0.2052
01/01/2022 17:00;348.9;1 254.80;120;200;0.2099
01/01/2022 17:15;1 836.20;946.1;280;520;0.2085
01/01/2022 17:30;1 266.00;1 040.50;400;400;0.2053
01/01/2022 17:45;542.6;1 016.20;400;360;0.2009
01/01/2022 18:00;397.5;1 273.20;320;240;0.1997
01/01/2022 18:15;462.1;2 215.60;120;320;0.1931
01/01/2022 18:30;406.5;1 795.20;120;400;0.1889
01/01/2022 18:45;416.4;1 164.80;280;280;0.1847
01/01/2022 19:00;1 454.90;1 696.30;320;240;0.1799
01/01/2022 19:15;2 351.00;2 082.30;480;400;0.1781
01/01/2022 19:30;1 888.80;2 117.10;400;360;0.1759
01/01/2022 19:45;1 210.60;1 642.60;280;240;0.1726
01/01/2022 20:00;80.4;951.3;360;320;0.1677
01/01/2022 20:15;81.5;627.3;520;440;0.1633
01/01/2022 20:30;60.1;416.5;520;240;0.1604
01/01/2022 20:45;125.9;432.5;480;760;0.1613
01/01/2022 21:00;129;355.1;360;1 920.00;0.1524
01/01/2022 21:15;179.2;479.9;160;320;0.147
01/01/2022 21:30;125.3;493.3;240;520;0.1391
01/01/2022 21:45;126.1;419.7;280;520;0.1316
01/01/2022 22:00;144.2;464.5;320;400;0.1168
01/01/2022 22:15;167;136.2;200;360;0.1086
01/01/2022 22:30;93.8;83.4;80;240;0.1024
01/01/2022 22:45;19.9;140.4;80;320;0.0939
01/01/2022 23:00;42.2;64.7;200;400;0.0919
01/01/2022 23:15;51.7;165.5;280;240;0.083
01/01/2022 23:30;19.1;79.7;200;200;0.0819
01/01/2022 23:45;19.4;89.2;120;320;0.0774
02/01/2022 00:00;19.2;164.3;160;240;0.0735
02/01/2022 00:15;76.8;77.7;120;320;0.0725
02/01/2022 00:30;18.9;87.4;200;360;0.0715
02/01/2022 00:45;19.8;143.3;200;200;0.0723
02/01/2022 01:00;19.9;69.3;160;240;0.0698
02/01/2022 01:15;80.3;131.3;160;360;0.0688
02/01/2022 01:30;21.5;87;200;240;0.0675
02/01/2022 01:45;18.4;102.3;120;280;0.0659
02/01/2022 02:00;19.1;109;240;480;0.0643
02/01/2022 02:15;51.2;75.2;280;320;0.0622
02/01/2022 02:30;44.8;164.8;200;360;0.0594
02/01/2022 02:45;19.8;83.5;120;360;0.0585
02/01/2022 03:00;19.8;111.6;40;360;0.0608
02/01/2022 03:15;73.8;124.5;160;280;0.0617
02/01/2022 03:30;21.1;72.1;280;200;0.0627
02/01/2022 03:45;19.6;162.5;200;240;0.062
02/01/2022 04:00;19.6;82;160;240;0.0614
02/01/2022 04:15;130;109.5;120;80;0.0606
02/01/2022 04:30;102.4;335.4;120;80;0.0628
02/01/2022 04:45;94.2;282.2;160;200;0.0632
02/01/2022 05:00;296.9;364;240;120;0.0706
02/01/2022 05:15;497.1;583.3;160;40;0.0738
02/01/2022 05:30;215.8;354.2;160;160;0.0781
02/01/2022 05:45;1 042.70;1 650.50;240;160;0.0824
02/01/2022 06:00;1 482.70;2 132.70;120;40;0.0843
02/01/2022 06:15;154.2;613.7;160;120;0.0913
02/01/2022 06:30;192.6;626;120;200;0.1016
02/01/2022 06:45;214.9;938.4;160;40;0.1087
02/01/2022 07:00;156.8;955.5;240;80;0.1232
02/01/2022 07:15;140.1;911.3;240;200;0.1318
02/01/2022 07:30;165.9;949;160;80;0.1388
02/01/2022 07:45;347.3;837.6;120;40;0.14
02/01/2022 08:00;294;783.4;840;200;0.1455
02/01/2022 08:15;249.5;782.8;320;120;0.1501
02/01/2022 08:30;146.5;3 127.10;320;40;0.1497
02/01/2022 08:45;156.4;192.5;280;160;0.1488
02/01/2022 09:00;298.3;1 490.20;120;160;0.1509
02/01/2022 09:15;787.8;114.2;80;80;0.1524
02/01/2022 09:30;309.9;389.2;320;240;0.1534
02/01/2022 09:45;328.4;461.9;280;360;0.1506
02/01/2022 10:00;219.8;495.6;280;240;0.1553
02/01/2022 10:15;116.6;2 520.50;280;240;0.1615
02/01/2022 10:30;79.4;780.1;80;640;0.166
02/01/2022 10:45;1 109.40;1 622.90;40;160;0.167
02/01/2022 11:00;2 062.80;589.9;160;40;0.1642
02/01/2022 11:15;1 146.70;705.3;280;160;0.1605
02/01/2022 11:30;112.5;452.1;240;160;0.1574
02/01/2022 11:45;134.2;535.6;280;40;0.1545
02/01/2022 12:00;176.1;554.4;160;120;0.1481
02/01/2022 12:15;166;661.7;120;240;0.1454
02/01/2022 12:30;149.8;578;280;40;0.1442
02/01/2022 12:45;169.5;513.7;240;40;0.144
02/01/2022 13:00;41.4;549.5;280;240;0.1419
02/01/2022 13:15;46.9;491.1;160;80;0.1398
02/01/2022 13:30;40.7;482.9;160;40;0.1412
02/01/2022 13:45;100.3;697.9;200;200;0.1472
02/01/2022 14:00;42.6;393.9;280;120;0.1502
02/01/2022 14:15;139.7;174.5;240;40;0.1486
02/01/2022 14:30;241.6;174.7;360;160;0.1482
02/01/2022 14:45;306.9;141.7;280;160;0.1505
02/01/2022 15:00;252.1;232;240;40;0.1537
02/01/2022 15:15;664.1;149.9;240;120;0.1531
02/01/2022 15:30;250.1;272.9;240;200;0.1594
02/01/2022 15:45;281.2;463.2;400;40;0.1748
02/01/2022 16:00;256;563.5;160;80;0.1853
02/01/2022 16:15;282.1;814.7;160;280;0.1936
02/01/2022 16:30;272.5;1 177.80;240;160;0.198
02/01/2022 16:45;1 184.80;1 119.30;400;160;0.2021
02/01/2022 17:00;223.7;1 007.70;440;280;0.2066
02/01/2022 17:15;114.8;1 049.60;280;200;0.2059
02/01/2022 17:30;106.2;1 135.30;40;80;0.2022
02/01/2022 17:45;195.5;1 263.30;80;200;0.198
02/01/2022 18:00;279.4;1 059.20;240;200;0.1976
02/01/2022 18:15;346.2;1 185.60;280;80;0.1911
02/01/2022 18:30;351.8;1 245.80;160;160;0.1869
02/01/2022 18:45;371.4;1 177.30;200;240;0.1829
02/01/2022 19:00;228.4;1 237.90;240;120;0.1782
02/01/2022 19:15;1 271.50;1 739.10;320;80;0.1767
02/01/2022 19:30;2 052.70;2 253.20;360;280;0.1745
02/01/2022 19:45;1 744.30;2 309.90;200;440;0.1709
02/01/2022 20:00;2 105.70;2 120.50;240;280;0.1663
02/01/2022 20:15;201.8;1 241.60;400;440;0.1616
02/01/2022 20:30;103.5;535.3;520;400;0.1595
02/01/2022 20:45;174.1;361.7;520;920;0.1603
02/01/2022 21:00;111.3;390.2;480;240;0.152
02/01/2022 21:15;347.8;445.3;440;320;0.147
02/01/2022 21:30;351.6;288.1;320;400;0.1397
02/01/2022 21:45;186.5;302.5;160;280;0.1323
02/01/2022 22:00;163.2;362.2;160;200;0.1176
02/01/2022 22:15;128.2;276.4;360;440;0.1093
02/01/2022 22:30;128.8;335.9;240;280;0.1028
02/01/2022 22:45;127.3;309.5;160;160;0.0942
02/01/2022 23:00;192.5;304.3;120;320;0.0923
02/01/2022 23:15;105.7;290.5;240;360;0.0837
02/01/2022 23:30;20;67.5;160;240;0.0825
02/01/2022 23:45;35.4;107.9;120;320;0.078
03/01/2022 00:00;50.9;163.3;240;360;0.0738
03/01/2022 00:15;19.6;64.9;120;280;0.0726
03/01/2022 00:30;19.9;98.1;160;160;0.0718
03/01/2022 00:45;44.2;136.9;240;320;0.0727
03/01/2022 01:00;52.4;69.1;240;360;0.0703
03/01/2022 01:15;20;130.6;160;280;0.0689
03/01/2022 01:30;19.6;112.2;120;200;0.0676
03/01/2022 01:45;51.1;300;120;320;0.066
03/01/2022 02:00;37.1;295.4;200;320;0.0644
03/01/2022 02:15;19.8;506.3;160;200;0.0622
03/01/2022 02:30;19.3;713.3;80;160;0.0595
03/01/2022 02:45;75.8;613.2;160;240;0.0584
03/01/2022 03:00;19.8;683.1;200;320;0.0608
03/01/2022 03:15;19.5;641.1;160;160;0.0616
03/01/2022 03:30;27.8;665.4;160;160;0.0628
03/01/2022 03:45;58.5;681.2;160;360;0.0622
03/01/2022 04:00;20.2;608.6;120;320;0.0613
03/01/2022 04:15;19.1;594.5;160;200;0.0605
03/01/2022 04:30;20.4;650;160;240;0.0628
03/01/2022 04:45;116.3;803.3;160;360;0.0634
03/01/2022 05:00;77.1;817.6;240;400;0.0706
03/01/2022 05:15;83.4;762.9;120;240;0.0735
03/01/2022 05:30;161;811.5;80;160;0.0778
03/01/2022 05:45;470.6;614.2;120;360;0.0823
03/01/2022 06:00;63.6;904.3;200;280;0.0843
03/01/2022 06:15;64.4;1 025.00;280;80;0.0909
03/01/2022 06:30;63.8;1 033.10;120;40;0.1018
03/01/2022 06:45;112.7;1 047.80;40;200;0.1092
03/01/2022 07:00;87.8;944;80;200;0.1239
03/01/2022 07:15;111.6;1 008.40;240;80;0.1334
03/01/2022 07:30;182.1;3 071.40;320;40;0.1409
03/01/2022 07:45;263;1 213.60;560;240;0.1422
03/01/2022 08:00;199.2;2 098.10;280;160;0.1477
03/01/2022 08:15;143.8;202.5;200;40;0.1514
03/01/2022 08:30;147.8;173.1;320;80;0.1507
03/01/2022 08:45;207.5;203.3;320;280;0.1498
03/01/2022 09:00;157.5;323.3;200;280;0.1523
03/01/2022 09:15;142.6;1 559.00;40;160;0.154
03/01/2022 09:30;155.1;2 333.70;160;280;0.1548
03/01/2022 09:45;217.4;997;280;320;0.1526
03/01/2022 10:00;181.5;1 253.10;240;80;0.1576
03/01/2022 10:15;1 920.70;662.6;200;40;0.1638
03/01/2022 10:30;1 614.70;577.9;80;200;0.1686
03/01/2022 10:45;761.4;685.1;80;200;0.1706
03/01/2022 11:00;325.6;1 004.20;200;80;0.1697
03/01/2022 11:15;265.8;2 402.60;240;40;0.1673
03/01/2022 11:30;206;526.4;240;200;0.1641
03/01/2022 11:45;192.4;369.8;120;200;0.1607
03/01/2022 12:00;246.5;316;40;40;0.1541
03/01/2022 12:15;189.1;3 092.00;120;80;0.1516
03/01/2022 12:30;193.9;2 797.60;320;240;0.15
03/01/2022 12:45;236.4;625.3;320;120;0.1496
03/01/2022 13:00;306.7;536.8;240;40;0.1475
03/01/2022 13:15;188.1;483.3;200;120;0.145
03/01/2022 13:30;129.5;531;240;320;0.1459
03/01/2022 13:45;109.3;473.3;280;200;0.1523
03/01/2022 14:00;2 065.70;1 462.10;280;160;0.1556
03/01/2022 14:15;545.5;2 552.40;160;240;0.1543
03/01/2022 14:30;341;2 948.20;240;200;0.1532
03/01/2022 14:45;342.3;4 326.90;120;240;0.1545
03/01/2022 15:00;594.4;2 788.70;120;80;0.1568
03/01/2022 15:15;199;2 186.30;160;80;0.1556
03/01/2022 15:30;173.2;3 399.30;160;240;0.159
03/01/2022 15:45;1 310.50;1 410.10;240;200;0.1759
03/01/2022 16:00;1 748.40;1 016.90;200;40;0.1855
03/01/2022 16:15;1 758.50;1 247.60;120;40;0.193
03/01/2022 16:30;1 661.70;2 631.90;80;240;0.1966
03/01/2022 16:45;1 391.70;2 736.90;160;200;0.2004
03/01/2022 17:00;1 438.80;1 127.90;200;120;0.2053
03/01/2022 17:15;1 607.10;1 044.90;240;120;0.2049
03/01/2022 17:30;1 100.60;972.4;160;240;0.2003
03/01/2022 17:45;396.4;945.1;0;160;0.1959
03/01/2022 18:00;416.3;924.3;120;120;0.1957
03/01/2022 18:15;1 228.20;1 034.00;240;160;0.1898
03/01/2022 18:30;1 474.00;960.2;240;400;0.1853
03/01/2022 18:45;2 167.60;803.3;280;840;0.1819
03/01/2022 19:00;1 880.00;1 475.40;40;280;0.1778
03/01/2022 19:15;2 295.30;1 722.10;80;400;0.1765
03/01/2022 19:30;217.7;1 572.70;400;320;0.1742
03/01/2022 19:45;169.3;1 389.20;360;200;0.1717
03/01/2022 20:00;206.9;926.2;360;320;0.1677
03/01/2022 20:15;174.5;376.3;280;440;0.1634
03/01/2022 20:30;79.1;424.8;280;280;0.1609
03/01/2022 20:45;65.5;354.7;440;240;0.1616
03/01/2022 21:00;164.8;434;440;360;0.1533
03/01/2022 21:15;119.9;387;360;400;0.148
03/01/2022 21:30;107.7;549.8;320;240;0.1406
03/01/2022 21:45;110.8;693.8;360;200;0.1329
03/01/2022 22:00;110.1;619.1;280;400;0.1184
03/01/2022 22:15;178.3;706.7;280;360;0.11
03/01/2022 22:30;107.3;618.1;280;240;0.1036
03/01/2022 22:45;67.8;655.8;160;200;0.0952
03/01/2022 23:00;19.1;661.5;40;360;0.0932
03/01/2022 23:15;65.4;615.1;160;280;0.0843
03/01/2022 23:30;21.1;726.6;280;200;0.0832
03/01/2022 23:45;19.2;207.2;240;280;0.0787
04/01/2022 00:00;19.6;321.9;280;160;0.0746
04/01/2022 00:15;57.3;341.2;160;240;0.0732
04/01/2022 00:30;45.1;69.6;0;360;0.0721
04/01/2022 00:45;19.6;128.5;80;200;0.0731
04/01/2022 01:00;19;127.2;240;160;0.0708
04/01/2022 01:15;58.6;62.6;280;280;0.0693
04/01/2022 01:30;28.9;137;240;320;0.068
04/01/2022 01:45;20.4;101.8;120;160;0.0664
04/01/2022 02:00;19.1;78.3;160;200;0.0649
04/01/2022 02:15;73.7;163.6;280;320;0.0625
04/01/2022 02:30;29.3;106.7;240;240;0.0598
04/01/2022 02:45;20.5;73.4;120;160;0.0587
04/01/2022 03:00;20.5;211;40;280;0.061
04/01/2022 03:15;57.8;325.2;160;280;0.0621
04/01/2022 03:30;36.4;337.5;280;160;0.0631
04/01/2022 03:45;19.6;349.1;240;200;0.0625
04/01/2022 04:00;19.5;305.2;240;320;0.0616
04/01/2022 04:15;35.5;396.2;40;240;0.0609
04/01/2022 04:30;59.5;300.2;40;120;0.0634
04/01/2022 04:45;41.7;651.5;240;240;0.0642
04/01/2022 05:00;88.9;803.3;280;240;0.0713
04/01/2022 05:15;137.6;706;240;120;0.0741
04/01/2022 05:30;98.3;831.9;160;120;0.0787
04/01/2022 05:45;556.4;678.9;40;320;0.0833
04/01/2022 06:00;79.3;545;120;240;0.0856
04/01/2022 06:15;643.4;1 711.60;240;280;0.0924
04/01/2022 06:30;1 627.20;1 067.80;240;320;0.1027
04/01/2022 06:45;318.9;951;160;360;0.1098
04/01/2022 07:00;100.6;899.2;160;160;0.1241
04/01/2022 07:15;241.8;365.8;160;240;0.1328
04/01/2022 07:30;313;125.5;200;320;0.1395
04/01/2022 07:45;298.5;212.9;280;240;0.1405
04/01/2022 08:00;285.4;191.2;760;160;0.1455
04/01/2022 08:15;90;123.4;240;240;0.149
04/01/2022 08:30;267.5;198.6;320;280;0.1483
04/01/2022 08:45;229.8;183.9;240;80;0.1471
04/01/2022 09:00;241.9;281.9;80;40;0.149
04/01/2022 09:15;1 390.70;1 797.20;80;240;0.1507
04/01/2022 09:30;1 385.30;1 752.40;200;120;0.1513
04/01/2022 09:45;1 347.50;1 206.80;280;40;0.149
04/01/2022 10:00;883.6;885.7;240;160;0.154
04/01/2022 10:15;153.5;583;240;200;0.1598
04/01/2022 10:30;79.7;616.3;0;80;0.1641
04/01/2022 10:45;76.6;753.3;80;40;0.1651
04/01/2022 11:00;109.8;865.3;280;400;0.1637
04/01/2022 11:15;337.7;2 976.90;280;80;0.1602
04/01/2022 11:30;288.9;1 680.70;200;200;0.1571
04/01/2022 11:45;1 089.10;341.5;160;200;0.154
04/01/2022 12:00;1 377.40;417;200;240;0.148
04/01/2022 12:15;299.3;192;280;160;0.1452
04/01/2022 12:30;277.9;240.8;240;40;0.1439
04/01/2022 12:45;539.8;150.6;280;120;0.1438
04/01/2022 13:00;2 585.20;205.3;160;200;0.1415
04/01/2022 13:15;3 728.10;218.3;160;160;0.1392
04/01/2022 13:30;1 644.70;298.9;280;40;0.1399
04/01/2022 13:45;382.6;627.5;360;160;0.146
04/01/2022 14:00;172.1;700.7;240;200;0.1491
04/01/2022 14:15;212.1;596.7;160;80;0.1479
04/01/2022 14:30;160.8;556.1;200;40;0.1473
04/01/2022 14:45;110.2;623;280;200;0.1491
04/01/2022 15:00;770.1;547.1;240;160;0.1523
04/01/2022 15:15;1 724.00;795.1;200;80;0.1518
04/01/2022 15:30;2 263.20;526.4;160;120;0.1553
04/01/2022 15:45;4 272.80;265.7;240;240;0.1713
04/01/2022 16:00;2 416.10;538.4;240;120;0.1827
04/01/2022 16:15;1 957.50;865.1;280;80;0.1901
04/01/2022 16:30;1 838.60;890.3;200;240;0.1943
04/01/2022 16:45;1 625.00;801.5;160;200;0.1979
04/01/2022 17:00;497.1;865.9;200;80;0.2027
04/01/2022 17:15;470.8;769.9;280;160;0.2019
04/01/2022 17:30;352.7;766.4;240;280;0.1979
04/01/2022 17:45;305.8;741.2;280;120;0.1933
04/01/2022 18:00;301.1;757;120;80;0.1928
04/01/2022 18:15;230.5;1 422.60;120;240;0.187
04/01/2022 18:30;424.6;1 783.20;120;200;0.1832
04/01/2022 18:45;1 829.00;1 927.00;200;80;0.1795
04/01/2022 19:00;2 232.40;1 858.10;240;160;0.1753
04/01/2022 19:15;2 008.00;1 485.10;200;280;0.1746
04/01/2022 19:30;2 214.00;1 227.30;160;80;0.1723
04/01/2022 19:45;156.9;1 272.40;240;200;0.169
04/01/2022 20:00;72.9;1 195.90;280;360;0.165
04/01/2022 20:15;98.2;1 212.30;240;560;0.1605
04/01/2022 20:30;89.9;784;240;520;0.1576
04/01/2022 20:45;54.7;640.6;280;320;0.1588
04/01/2022 21:00;159.3;621.5;280;360;0.151
04/01/2022 21:15;162.7;777.5;160;240;0.1464
04/01/2022 21:30;218;882.5;240;200;0.1396
04/01/2022 21:45;159.3;834.7;320;360;0.1326
04/01/2022 22:00;162.6;820.8;280;320;0.1184
04/01/2022 22:15;184.7;694.8;240;200;0.1099
04/01/2022 22:30;192.4;708.4;160;320;0.1037
04/01/2022 22:45;99.7;82.9;240;400;0.0953
04/01/2022 23:00;20.2;100.5;200;240;0.0955
04/01/2022 23:15;65.7;156;160;240;0.0852
04/01/2022 23:30;21.5;64;160;400;0.0842
04/01/2022 23:45;20.7;138.2;240;240;0.0805
05/01/2022 00:00;19.3;105.1;280;80;0.0764
05/01/2022 00:15;50.4;90;240;120;0.0746
05/01/2022 00:30;52.1;153.2;240;240;0.0734
05/01/2022 00:45;20.5;65.2;120;40;0.0747
05/01/2022 01:00;19.9;120.2;40;40;0.0723
05/01/2022 01:15;19.1;107.1;160;200;0.071
05/01/2022 01:30;82.6;79.3;280;200;0.0698
05/01/2022 01:45;19.7;163.6;240;40;0.0679
05/01/2022 02:00;19.8;92.7;120;80;0.0669
05/01/2022 02:15;33.5;95.3;200;200;0.0624
05/01/2022 02:30;43.5;147.9;240;120;0.0611
05/01/2022 02:45;19.6;68;160;40;0.0606
05/01/2022 03:00;19.3;142.2;240;160;0.0619
05/01/2022 03:15;67;82.2;120;200;0.0624
05/01/2022 03:30;18.9;123.8;80;40;0.064
05/01/2022 03:45;20.1;111.1;160;80;0.0629
05/01/2022 04:00;86.6;67.8;200;200;0.0623
05/01/2022 04:15;162.2;156.1;280;160;0.0619
05/01/2022 04:30;127;210.6;160;40;0.0634
05/01/2022 04:45;128.2;320.1;40;120;0.0636
05/01/2022 05:00;126.2;406.9;80;200;0.0707
05/01/2022 05:15;192.7;320.5;280;80;0.0737
05/01/2022 05:30;127.3;368.2;240;40;0.0758
05/01/2022 05:45;97.7;356.2;160;200;0.0815
05/01/2022 06:00;73.2;343.4;40;160;0.0821
05/01/2022 06:15;109.8;421;120;40;0.0893
05/01/2022 06:30;100.7;349.7;240;120;0.1006
05/01/2022 06:45;89.7;410.2;160;240;0.1095
05/01/2022 07:00;90.4;558.6;160;80;0.1266
05/01/2022 07:15;77.9;608.2;240;40;0.1376
05/01/2022 07:30;88.9;695.1;160;160;0.1468
05/01/2022 07:45;49;616.1;80;200;0.1481
05/01/2022 08:00;64.4;637.3;760;40;0.1552
05/01/2022 08:15;218.6;508.5;320;80;0.1589
05/01/2022 08:30;296.2;397.8;280;240;0.1575
05/01/2022 08:45;227.7;465.3;120;120;0.1581
05/01/2022 09:00;230.9;2 582.10;40;80;0.1585
05/01/2022 09:15;1 632.00;430.9;240;280;0.1584
05/01/2022 09:30;1 519.60;1 175.60;280;320;0.1576
05/01/2022 09:45;168.3;516.4;200;160;0.1584
05/01/2022 10:00;242.6;471.8;160;160;0.1632
05/01/2022 10:15;1 792.40;1 220.30;160;360;0.1667
05/01/2022 10:30;1 927.10;481.9;120;760;0.1675
05/01/2022 10:45;2 561.80;543.6;160;200;0.166
05/01/2022 11:00;1 740.90;1 575.30;200;1 840.00;0.1664
05/01/2022 11:15;1 353.50;1 812.80;200;1 120.00;0.1645
05/01/2022 11:30;1 311.20;616.3;280;360;0.163
05/01/2022 11:45;1 250.80;199.9;160;280;0.1644
05/01/2022 12:00;954.9;600.1;0;1 000.00;0.1595
05/01/2022 12:15;1 517.60;2 586.70;160;760;0.1582
05/01/2022 12:30;2 676.40;3 604.00;240;1 840.00;0.1618
05/01/2022 12:45;2 942.50;2 010.10;280;1 000.00;0.1642
05/01/2022 13:00;404.5;792.1;160;520;0.1679
05/01/2022 13:15;256.8;519.5;0;440;0.1665
05/01/2022 13:30;165.2;601.4;160;560;0.1695
05/01/2022 13:45;162.3;419.4;280;320;0.1722
05/01/2022 14:00;557.3;611;200;240;0.1762
05/01/2022 14:15;154;1 654.10;120;160;0.1751
05/01/2022 14:30;541.6;1 687.70;240;280;0.1745
05/01/2022 14:45;2 438.00;1 483.30;120;320;0.181
05/01/2022 15:00;2 393.70;1 440.40;120;280;0.1835
05/01/2022 15:15;365.8;1 209.70;160;160;0.1848
05/01/2022 15:30;372.7;1 467.40;200;240;0.1917
05/01/2022 15:45;377.6;1 531.20;240;360;0.196
05/01/2022 16:00;419.4;1 087.00;280;240;0.2101
05/01/2022 16:15;925.4;1 030.90;80;160;0.2219
05/01/2022 16:30;111;1 012.50;40;320;0.2218
05/01/2022 16:45;118.3;1 098.30;200;320;0.2243
05/01/2022 17:00;185.5;1 103.10;280;240;0.2283
05/01/2022 17:15;287;1 049.60;280;160;0.224
05/01/2022 17:30;358.2;1 031.90;120;280;0.2143
05/01/2022 17:45;342.1;1 052.60;120;320;0.2036
05/01/2022 18:00;365.4;752.2;160;160;0.1975
05/01/2022 18:15;421.3;817.6;160;160;0.1867
05/01/2022 18:30;356.8;650.8;280;320;0.1823
05/01/2022 18:45;1 212.20;896.1;160;320;0.1768
05/01/2022 19:00;1 474.00;923.3;160;200;0.1721
05/01/2022 19:15;2 531.70;1 020.30;280;160;0.1719
05/01/2022 19:30;1 988.20;1 357.30;240;360;0.1709
05/01/2022 19:45;1 851.20;1 364.90;120;280;0.1712
05/01/2022 20:00;1 665.10;1 399.30;40;160;0.1668
05/01/2022 20:15;236.8;1 256.30;160;720;0.16
05/01/2022 20:30;105.2;2 037.40;280;320;0.162
05/01/2022 20:45;48.8;1 745.40;280;240;0.1654
05/01/2022 21:00;48.7;1 522.30;240;160;0.1568
05/01/2022 21:15;97.3;1 111.00;160;320;0.1498
05/01/2022 21:30;53.4;370.2;160;360;0.1456
05/01/2022 21:45;74.8;404.3;160;240;0.1427
05/01/2022 22:00;69.3;404.7;120;240;0.132
05/01/2022 22:15;131.4;369.6;240;360;0.1302
05/01/2022 22:30;69.9;273.9;160;320;0.1264
05/01/2022 22:45;75.3;63.9;160;240;0.1218
05/01/2022 23:00;73;122.7;240;320;0.1282
05/01/2022 23:15;137.8;101.5;280;400;0.123
05/01/2022 23:30;61;90.7;80;320;0.1208
05/01/2022 23:45;19.3;163.6;40;160;0.1176
06/01/2022 00:00;18.8;72.9;240;200;0.1161
06/01/2022 00:15;75.1;122.5;280;320;0.1115
06/01/2022 00:30;19.9;115.5;200;320;0.1071
06/01/2022 00:45;20.5;84.7;160;320;0.1085
06/01/2022 01:00;18.8;133.6;200;160;0.1044
